Date,Close/Last,Volume,Open,High,Low
06/20/2023,$77.0146,965,$77.5247,$79.3965,$75.3162
06/16/2023,$77.3546,1778,$78.3747,$81.0949,$75.4845
06/15/2023,$77.3546,1101,$85.0051,$85.0051,$76.8446
06/14/2023,$80.8875,2610,$78.2047,$83.305,$77.8647
06/13/2023,$77.5247,2150,$73.9544,$78.0347,$73.1044
06-12-2023,$74.0394,604,$74.8062,$75.3145,$73.0619
06-09-2023,$76.5046,646,$79.3948,$79.3948,$76.5046
06-08-2023,$78.3747,1050,$75.8245,$79.0547,$72.9344
06-07-2023,$75.6545,1291,$75.8245,$75.8245,$72.2543
06-06-2023,$74.2945,2009,$78.3747,$78.3747,$74.2945
06-05-2023,$78.3747,855,$78.0347,$79.5648,$76.8446
06-02-2023,$77.1846,884,$77.3546,$78.8847,$76.1646
06-01-2023,$76.8446,2317,$75.9946,$79.5648,$75.3145
